"","State","Number of Customers","Average Monthly Consumption (kWh)","Average Price (cents/kWh)","Average Monthly Bill (Dollar and cents)","abb"
"2","connecticut",1468958,731.40632,20.936439,153.13044,"CT"
"3","maine",699241,555.6383,15.612937,86.751456,"ME"
"4","massachusetts",2794918,601.54767,19.826314,119.26473,"MA"
"5","new hampshire",607465,621.0163,18.501401,114.89672,"NH"
"6","rhode island",440191,593.58816,19.289553,114.5005,"RI"
"7","vermont",312060,557.8361,17.089332,95.330465,"VT"
"9","new jersey",3489111,696.02933,15.80957,110.03924,"NJ"
"10","new york",7079097,600.50909,18.536912,111.31584,"NY"
"11","pennsylvania",5304279,854.9491,13.640808,116.62196,"PA"
"13","illinois",5172653,719.25757,12.500888,89.913583,"IL"
"14","indiana",2804861,963.85326,11.568705,111.50534,"IN"
"15","michigan",4282858,649.05794,14.421826,93.60601,"MI"
"16","ohio",4892916,876.9984,12.798972,112.24678,"OH"
"17","wisconsin",2647224,667.83125,14.114604,94.261734,"WI"
"19","iowa",1356600,846.86766,11.634361,98.527643,"IA"
"20","kansas",1231830,895.80015,12.343991,110.57749,"KS"
"21","minnesota",2374674,761.99828,12.115436,92.319416,"MN"
"22","missouri",2734553,1033.434,11.205439,115.80082,"MO"
"23","nebraska",825940,961.74581,10.601268,101.95725,"NE"
"24","north dakota",371501,1090.7422,9.62243,104.95591,"ND"
"25","south dakota",388374,980.86831,11.080426,108.68439,"SD"
"27","delaware",413445,977.35652,13.422041,131.18119,"DE"
"29","florida",8963967,1141.2309,11.580849,132.16423,"FL"
"30","georgia",4191209,1121.8253,11.54017,129.46055,"GA"
"31","maryland",2255556,1012.4383,13.819034,139.90919,"MD"
"32","north carolina",4336698,1112.6276,11.280952,125.51498,"NC"
"33","south carolina",2185965,1145.916,12.570036,144.04206,"SC"
"34","virginia",3332083,1148.6411,11.368255,130.58045,"VA"
"35","west virginia",861334,1106.5637,10.083929,111.58509,"WV"
"37","alabama",2182616,1218.2831,11.695403,142.48312,"AL"
"38","kentucky",1947068,1119.9786,10.24279,114.71705,"KY"
"39","mississippi",1270397,1217.5394,11.271835,137.23903,"MS"
"40","tennessee",2783058,1247.6507,10.300328,128.51211,"TN"
"42","arkansas",1356658,1122.4512,9.8192109,110.21585,"AR"
"43","louisiana",2043760,1286.245,9.3312988,120.02336,"LA"
"44","oklahoma",1723938,1093.2249,10.141535,110.86979,"OK"
"45","texas",10318006,1176.3571,11.560737,135.99555,"TX"
"47","arizona",2689223,1027.7815,12.130454,124.67457,"AZ"
"48","colorado",2225725,688.35009,12.118562,83.41813,"CO"
"49","idaho",701447,956.91395,9.9283747,95.006002,"ID"
"50","montana",491422,818.23989,10.88044,89.028099,"MT"
"51","nevada",1126220,912.97571,12.757616,116.47393,"NV"
"52","new mexico",871047,635.41577,12.469189,79.231192,"NM"
"53","utah",1021839,743.52491,10.88348,80.921383,"UT"
"54","wyoming",268226,831.60656,10.965636,91.190948,"WY"
"56","california",13380684,556.68787,16.99121,94.588005,"CA"
"57","oregon",1686973,902.45502,10.664591,96.243133,"OR"
"58","washington",2945760,963.87087,9.0928363,87.6432,"WA"
"60","alaska",282282,603.46982,19.82549,119.64085,"AK"
"61","hawaii",428339,513.8718,29.602288,152.11781,"HI"
